"Country","Estimated Dog Population"
"Afghanistan","2,000,000"
"Albania","550,000"
"Angola","600,000"
"Argentina","10,000,000"
"Armenia","500,000"
"Aruba", "30,000"
"Australia", "6,000,000
"Austria","837,000"
"Azerbaijan","1,200,000"
"The Bahamas", "83,000"
"Bahrain", "7,000"
"Bangladesh","750,000"
"Belarus","2,500,000"
"Belgium","1,340,000"
"Bermuda", "10,000"
"Bhutan", "106,000"
"Bolivia", "3,106,000"
"Bosnia and Herzegovina","700,000"
"Botswana","400,000"
"Brazil","55,000,000"
"Brunei", "50,000"
"Bulgaria","750,000"
"Burundi","200,000"
"Cambodia", "5,000,000"
"Cameroon", "690,000"
"Canada","7,900,000"
"Chad", "1,200,000"
"Chile", "10,000,000"
"China","54,290,000"
"Colombia", "5,000,000"
"Costa Rica", "2,000,000"
"Côte d’Ivoire", "1,500"
"Croatia","1,050,000"
"Cyprus","100,000"
"Czech Republic","2,205,000"
"Democratic Republic of Congo","800,000"
"Denmark","610,000"
"Dominican Republic", "1,900,000"
"Ecuador", "5,200,000"
"Egypt","5,700,000"
"El Salvador", "300,000"
"Estonia","235,000"
"Ethiopia","1,500,000"
"Finland","760,000"
"France","7,500,000"
"French Polynesia", "500,000"
"Georgia","600,000"
"Germany","10,300,000"
"Ghana","950,000"
"Greece","660,000"
"Greenland", "15,000"
"Grenada", "35,000"
"Guam", "60,000"
"Guernsey", "8,000"
"Hungary","2,800,000"
"Iceland","50,000"
"India","10,200,000"
"Indonesia","9,000,000"
"Iran","2,100,000"
"Iraq","1,200,000"
"Ireland","457,000"
"Israel","500,000"
"Italy","8,700,000"
"Ivory Coast","700,000"
"Japan","20,000,000"
"Kazakhstan","2,500,000"
"Kenya","1,300,000"
"Kosovo","150,000"
"Kyrgyzstan","800,000"
"Latvia","270,000"
"Lesotho","100,000"
"Libya","500,000"
"Lithuania","550,000"
"Luxembourg","30,000"
"Madagascar","500,000"
"Malawi","350,000"
"Malaysia","3,500,000"
"Malta","60,000"
"Mexico","18,000,000"
"Mongolia","800,000"
"Montenegro","400,000"
"Morocco","1,200,000"
"Mozambique","400,000"
"Myanmar","3,600,000"
"Namibia","300,000"
"Nepal","800,000"
"Netherlands","1,850,000"
"New Zealand","560,500"
"Nigeria","1,500,000"
"North Macedonia","320,000"
"Norway","490,000"
"Pakistan","4,000,000"
"Philippines","11,000,000"
"Poland","6,467,000"
"Portugal","2,105,000"
"Romania","4,195,000"
"Russia","17,550,000"
"Rwanda","300,000"
"Saudi Arabia","1,900,000"
"Serbia","1,400,000"
"Slovakia","920,000"
"Slovenia","280,000"
"South Africa","9,500,000"
"South Korea","5,450,000"
"Spain","9,313,000"
"Sri Lanka","1,000,000"
"Swaziland","150,000"
"Sweden","890,000"
"Switzerland","544,000"
"Tajikistan","700,000"
"Tanzania","800,000"
"Thailand","8,200,000"
"Tunisia","700,000"
"Turkey","1,655,000"
"Turkmenistan","900,000"
"Uganda","1,100,000"
"Ukraine","4,500,000"
"United Kingdom","12,000,000"
"United States","90,000,000"
"Uzbekistan","1,800,000"
"Vietnam","5,400,000"
"Zambia","350,000"
"Zimbabwe","700,000"
